run	collected_at	repo	commit	files	bytes	safetensors	not_safe	unscanned	bundle
2026-07-29T04:28:47Z-43517	2026-07-29T04:28:50Z	zai-org/GLM-5.2-FP8	ba978f7d347eaf65d22f1a86833408afdb953541	50	235992631846	44	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/zai-org__glm-5.2-fp8/ba978f7d347eaf65d22f1a86833408afdb953541
2026-07-31T02:27:56Z-51773	2026-07-31T02:27:58Z	MERaLiON/MERaLiON-3-10B	3d5c2f772641b1cfeba35743df3db32a07db8c48	19	19924098278	5	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/meralion__meralion-3-10b/3d5c2f772641b1cfeba35743df3db32a07db8c48
2026-07-31T02:27:56Z-51773	2026-07-31T02:28:00Z	MERaLiON/MERaLiON-3-3B-ASR	9f226d738dee62c60a2f43b0ab7b9a2585a132c3	21	6654501559	2	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/meralion__meralion-3-3b-asr/9f226d738dee62c60a2f43b0ab7b9a2585a132c3
2026-07-31T02:27:56Z-51773	2026-07-31T02:28:01Z	MERaLiON/MERaLiON-2-10B	57bb08fd110af1f1ef5a6b16d53ac240393d4f93	22	20254665791	5	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/meralion__meralion-2-10b/57bb08fd110af1f1ef5a6b16d53ac240393d4f93
2026-07-31T02:27:56Z-51773	2026-07-31T02:28:03Z	MERaLiON/MERaLiON-2-10B-ASR	3291e0b1f2fc48e43001b24ab500b38758003639	22	20254663352	5	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/meralion__meralion-2-10b-asr/3291e0b1f2fc48e43001b24ab500b38758003639
2026-07-31T02:27:56Z-51773	2026-07-31T02:28:20Z	MERaLiON/MERaLiON-2-3B	a03e40e9ae4f45fb3d575ed7f67bd9fd5304920d	19	6983510696	2	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/meralion__meralion-2-3b/a03e40e9ae4f45fb3d575ed7f67bd9fd5304920d
2026-07-31T02:27:56Z-51773	2026-07-31T02:28:22Z	Qwen/Qwen3.5-27B	fc05daec18b0a78c049392ed2e771dde82bdf654	24	55586167982	11	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/qwen__qwen3.5-27b/fc05daec18b0a78c049392ed2e771dde82bdf654
2026-07-31T02:27:56Z-51773	2026-07-31T02:28:25Z	qwen/Qwen3.5-35B-A3b	59d61f3ce65a6d9863b86d2e96597125219dc754	27	71927084782	14	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/qwen__qwen3.5-35b-a3b/59d61f3ce65a6d9863b86d2e96597125219dc754
2026-07-31T02:27:56Z-51773	2026-07-31T02:28:43Z	qwen/Qwen3.5-9B	c202236235762e1c871ad0ccb60c8ee5ba337b9a	16	19329393661	4	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/qwen__qwen3.5-9b/c202236235762e1c871ad0ccb60c8ee5ba337b9a
2026-08-11T06:08:49Z-72054	2026-08-11T06:08:51Z	Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice	0c0e3051f131929182e2c023b9537f8b1c68adfe	13	4520218951	2	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/qwen__qwen3-tts-12hz-1.7b-customvoice/0c0e3051f131929182e2c023b9537f8b1c68adfe
2026-08-11T06:08:49Z-72054	2026-08-11T06:08:53Z	moonshotai/Kimi-K2.5	4d01dfe0332d63057c186e0b262165819efb6611	48	314885062146	33	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/moonshotai__kimi-k2.5/4d01dfe0332d63057c186e0b262165819efb6611
2026-08-11T06:08:49Z-72054	2026-08-11T06:08:55Z	Aryn/deformable-detr-DocLayNet	d5503a90ae08dd43565de6984a5dd7924cad2400	8	165779938	1	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/aryn__deformable-detr-doclaynet/d5503a90ae08dd43565de6984a5dd7924cad2400
2026-08-11T06:08:49Z-72054	2026-08-11T06:08:57Z	cognitivecomputations/Dolphin3.0-Llama3.1-8B	f065677950dfc7e708d518d64cf1f5041ee007a0	13	16078950939	4	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/cognitivecomputations__dolphin3.0-llama3.1-8b/f065677950dfc7e708d518d64cf1f5041ee007a0
2026-08-11T06:08:49Z-72054	2026-08-11T06:09:10Z	cognitivecomputations/Dolphin3.0-Mistral-24B	65e9d03d587dfbfdee82b5ba067758a14c05a301	20	47162409615	10	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/cognitivecomputations__dolphin3.0-mistral-24b/65e9d03d587dfbfdee82b5ba067758a14c05a301
2026-08-11T06:08:49Z-72054	2026-08-11T06:09:13Z	cognitivecomputations/Dolphin3.0-R1-Mistral-24B	d96260c148d2bbf8a90a34022ef3777c6e6f5a09	20	47164004614	10	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/cognitivecomputations__dolphin3.0-r1-mistral-24b/d96260c148d2bbf8a90a34022ef3777c6e6f5a09
2026-08-11T06:08:49Z-72054	2026-08-11T06:09:15Z	Qwen/Qwen3.6-27B	6a9e13bd6fc8f0983b9b99948120bc37f49c13e9	29	55586107940	15	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/qwen__qwen3.6-27b/6a9e13bd6fc8f0983b9b99948120bc37f49c13e9
2026-08-11T06:08:49Z-72054	2026-08-11T06:09:17Z	Qwen/Qwen3.6-35B-A3B	995ad96eacd98c81ed38be0c5b274b04031597b0	40	71926865825	26	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/qwen__qwen3.6-35b-a3b/995ad96eacd98c81ed38be0c5b274b04031597b0
2026-08-11T06:08:49Z-72054	2026-08-11T06:09:27Z	zai-org/GLM-5.2-FP8	ba978f7d347eaf65d22f1a86833408afdb953541	50	235992631846	44	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/zai-org__glm-5.2-fp8/ba978f7d347eaf65d22f1a86833408afdb953541
2026-08-11T06:08:49Z-72054	2026-08-11T06:09:31Z	moonshotai/Kimi-K2.7-Code	74797c9c62378b951a1f6fcf5c4631024e9b8bef	48	314885036258	33	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/moonshotai__kimi-k2.7-code/74797c9c62378b951a1f6fcf5c4631024e9b8bef
2026-08-11T06:08:49Z-72054	2026-08-11T06:09:44Z	Qwen/Qwen3-Coder-480B-A35B-Instruct	9d90cf8fca1bf7b7acca42d3fc9ae694a2194069	50	171519504026	43	0	50	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/qwen__qwen3-coder-480b-a35b-instruct/9d90cf8fca1bf7b7acca42d3fc9ae694a2194069
2026-08-11T06:08:49Z-72054	2026-08-11T06:09:46Z	MiniMaxAI/MiniMax-M2.7	d494266a4affc0d2995ba1fa35c8481cbd84294b	48	51442125761	27	0	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/minimaxai__minimax-m2.7/d494266a4affc0d2995ba1fa35c8481cbd84294b
2026-08-11T06:08:49Z-72054	2026-08-11T06:09:49Z	MiniMaxAI/MiniMax-M3	f0e1c1e04d40177e4673a22097036854f536e9c0	48	494645665259	33	1	0	/Users/cheewaichong/Work/Baking/Scans/downloader/temp/hf-audit/minimaxai__minimax-m3/f0e1c1e04d40177e4673a22097036854f536e9c0
