path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1570		52373fe24473b1aa44333d318f578ae6bf04b49b	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	9631		fe753197960cf2eb881bded376e2d074e16b52c3	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	936		a8f3b6446941192db2112a24e1a489c02db458e4	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	206		269a72a8be3b414e4e083c508631e9b0c4b6e49e	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00004.safetensors	4976715056	3cefb45d70138704e88ef40aabc345bca71aa916e1603c3f111022c3759529d6	8b5e1cee29ba2e8952ffd7c8ad2aab589b2e4ce7	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00002-of-00004.safetensors	4999802720	22d9c8a8a3d8d4ae145fc4a9c846c877bb485a2d3fff81924fe4918c2eb17ba8	08ffd3dca050a50c7d7fad804c30fbb110d7c8e5	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00003-of-00004.safetensors	4915916176	34806daa7441ecb31d7bbbfdf17c7bef2bbad544d550da1cb99e300af36ebf8c	a41257059a87761c28915522eade38eac52e85e2	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00004-of-00004.safetensors	1168155192	0ce0b3146956b8c5fce3a886d953b3aa2746247062253572721dd9ebbf61dfd3	6e89930ff2a09fa232c35dd096a1b3ec3a99a357	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model.safetensors.index.json	23950		8d8b4acdbf058106d0bf767021732bbd13f1b452	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
special_tokens_map.json	444		44e8cb8943364b2bfdcf16fc526008d9d0577c48	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	17210298	e40b93124a3e29f62d5f4ff41be56cb2af34ecacf9239acd9da53a98860380b5	f4af41dbb731b61894ff344ee88ba2aa0aff517e	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	51234		0fd8d5469bd35f72da8c591f7ecf150745275b01	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
trainer_state.json	1063526		b09d99af7550679f6612eee9ced28badcd233bab	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
