path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1570		52373fe24473b1aa44333d318f578ae6bf04b49b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
Modelfile	1190		405f8bcf8d0ae063c1893b9953bccc44960b607b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	5791		54160e5edc502658b13007ffc9875ce4adc29c85	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	695		71bc54056e51b44b4aa22800c2cbf46edea2bb40	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	164		0113687c651c6f95d861bcda4422889f93f23459	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00010.safetensors	4781592216	218a7524ea7ccff7e4335683132a7f5a2a61082bc81b489a985d3d1c64e0ae20	6a3c75f4f2d46284f40be85a6a251f75150d34b3	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00002-of-00010.safetensors	4781592784	a4d6355130e05a15d44c75f29ada3fc4e8460b538a09e39beb10d342589c875b	b13db56f7861529b223d8d221344aa713dc9d8f9	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00003-of-00010.safetensors	4781592800	e71cbf0be43c03ed9c5fb0555c9cd64780e338b098700f65156386bcbad2c484	5e0a60d7c84437294a05569681f69718e372aea4	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00004-of-00010.safetensors	4886471600	94ef3a5799540539d2cb161d62e34a52d809af39727c857dbd9317f0c0c29b87	aece23138e1ce053eaf6558813a33df639882f6d	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00005-of-00010.safetensors	4781592824	211cf050607769ea0a9e62782e4e1530739f7d42f8f06f8deb0290f57b357e80	a0783bf551f5d81f83c436201d91fde925cb6145	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00006-of-00010.safetensors	4781592816	2577cb910415e88302017058346d3a56cc1a7b5f2fe0ad8a43a92df774648105	6d9c1f26b15d0a4dc03bf4c777a09799c5b79634	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00007-of-00010.safetensors	4886471600	0af9e18f2d1e71502267d7a4f7b5737566aa0d735a176ab37a86b76920f2d549	1523dddeff542b8affa405abcbfecb9d10ee6b71	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00008-of-00010.safetensors	4781592824	3eeea04597064f170d1436673180128d6ba5402eba132356de85b17443b855ef	712293950cac94ff6c07e9e10a298acd032c60d3	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00009-of-00010.safetensors	4781592816	1fb84ff22c3391477a3bdbb8701b77849e028d71b23d32c0b9730090c7b95ce5	60cdee5839665b18248df20a97afdb60f498028e	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00010-of-00010.safetensors	3900797552	63be31dd1f4d54a00de727ac6fe7f765a346064347fc5361a2b234781b1aedb2	7703a34afe880bc0cbcdf44853270814fc572c68	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model.safetensors.index.json	29894		3fbec2a2a94eb5b75b0f512bdac78cb31467f8f5	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
special_tokens_map.json	21455		678e69f9ec30138fa29e7de6e47bb03f0db2c4e6	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	17078415	d272e2518247a1d572131387580a2f6269e295616bc32dab17bbd886b55672d2	28b9e5961093c2bb5b5510e410d9e3bd14844981	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	201069		c5d9ce299b957c8dbcabb5695cad3006b84473c3	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
trainer_state.json	179540		4069cf8300807057dea09f4e2c65e98d379bef48	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
