path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1570		52373fe24473b1aa44333d318f578ae6bf04b49b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
Modelfile	1752		5ff85753ee53a41b79552570795ee4a232430937	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	7572		2ee15b7e087e83068a43a0f0aa97520192683eaf	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	698		86891883daa2a120b34dc6958885e15f32dec049	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	177		6376dc1c165ed5c1cd5acb94739c830e31774369	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00010.safetensors	4781592216	741673f7aeb350a93d917bbf5e140be1d46eba95a48cc4c5cbff5348835d72f1	8109c7cb8cd8b764dff776f37f3f768cc5383a10	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-00010.safetensors	4781592784	5db0e252d019ead94dd23aeffc3fb7f4437f5408f76900b40677eab9b833dbad	6eb3b5f16475b22027ce4ef75cc2bae06da8ea13	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00003-of-00010.safetensors	4781592800	364202bd4db30ab5bf8147858217962b9af51366c0741c41c2ee651bb281f019	45e3e1eeaccd6d92e62f8a920dd0928600cabf35	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00004-of-00010.safetensors	4886471600	593355b8dac30f42d2a1bdf34460ff3330850aad2b2cc35b7fd53449e6c0a25a	023f17c8d363f0470c735776982f69705cb54ec6	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00005-of-00010.safetensors	4781592824	f194eeb26f3dc5209058ce3567421adb3d7c7500c843b4be20a42e4a44f4d2e2	922faf597822b458bfff7b08eb73798be162c245	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00006-of-00010.safetensors	4781592816	809eb8ef8e5ea03e03bcbc9c045c3a3263d91ce1b310e27b548d000bf1ba9c8c	ff31b6fedee7efbd08fdb33a60519804bf774d82	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00007-of-00010.safetensors	4886471600	afdcbb5476d9eb2609f729e74af11b144ada8c2bf2d2788f682c31e778b7598a	acc77561fe80bf254b051cfe7f069026e7df4b66	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00008-of-00010.safetensors	4781592824	30a1bc3621452ceea452814fe6e11d4ca5d88ced7e50e2fb2aec66e7d1c66643	4c239e374f067c6b838d63e52f1d674986a042fc	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00009-of-00010.safetensors	4781592816	cc2708e74308299e28a74bfd042496c0c6f1ffa5a23fd4d41c9915c6627b8f64	5e581286ab605ff04227ec8ca58277b69036fcd3	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00010-of-00010.safetensors	3900797552	d48e2e4e9bd3532b7de029ed15133f8c1c8584927b9a0b42c40a3842b0c7dfd6	38311b649de593d1d6975158faa3cf6c23d1038e	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors.index.json	29894		3fbec2a2a94eb5b75b0f512bdac78cb31467f8f5	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
special_tokens_map.json	21455		678e69f9ec30138fa29e7de6e47bb03f0db2c4e6	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	17078415	d272e2518247a1d572131387580a2f6269e295616bc32dab17bbd886b55672d2	28b9e5961093c2bb5b5510e410d9e3bd14844981	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	201069		c5d9ce299b957c8dbcabb5695cad3006b84473c3	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
trainer_state.json	1772180		0e47081b35cedaa4ca7d62c2beaf76f5db75fac1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
