path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1805		de5b1dc3a4a2d8af8056e86ecb1cddcc936136e3	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
MERaLiON-Public-Licence-v3.pdf	186661	5de8bb1ea3c6e3d5e0cc588f8b3743dcc00e7bf7df0c261082aada94c2842e11	8326973046da26e30d468962b910abf229d3da97	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
README.md	46386		f2cde3025db2712eae709df9c24b57df5ebc3520	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	2823		46dbcc00bd92ff0bb2b4ffeb7c5595caa517d540	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration_meralion2.py	2933		3bf6a61bb1425edd3178e2db8bb37715c6132afb	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	227		26b7c3e76f72b45806232364fe34be56dd498a5a	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00005.safetensors	4944547928	cd268d844e4b7498cc26ee4580d0d231f995f809f8ac9e36b5f1c627022c59a8	6279eb5bf22af9a9c72ba1755420a8ce48e51c89	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-00005.safetensors	4991612584	7c6208360ff670e6526e5c162718e836f036d99820802c66781ed7f93f37da3a	f9b0be82b0168fe3331a361da72ef4fbaf0bc960	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00003-of-00005.safetensors	4918183272	e51266aba27f944b2c91b042984d326ed76b3cc6770b22aa3ff50a497dfec3ec	1a5260e345856a5cadccec699379a9ef525dfd05	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00004-of-00005.safetensors	4991612648	30b94245e43633a8df805d30018ed60e34eba654a3d2d787bdb8970e175e3a5c	3c215f386c1cb9817287389ac97cd191f8b6d285	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00005-of-00005.safetensors	367038856	59109af7285d2dcd8d55b58c69c3fa373ee9f0f49835b3c83b0e07e8d5be806c	7c494cf19ef449814d14aa1f418eef218ad320a4	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model.safetensors.index.json	88661		129d97d18720b5b085312f1074efc6a691f61275	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
modeling_meralion2.py	27539		2006ecc2c9971e0021a3ba49fbca8e4a6ff503f6	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
preprocessor_config.json	443		c80f44790b75604a19cf525c7401d044295d395f	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
processing_meralion2.py	8953		c84b4a420f8394732d56b6871aa505a8b7ad6783	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
processor_config.json	281		c57b16d978c2d78d4b206a49ba9ae560c26ca560	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
radar_asr.png	1433927	f470c1fb148f3bb30d8cbc9d2fd3bc7b38957308ec5e6c22834105c790ad4793	268056981bb92ac82c3b8948949d26e2ed434409	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
radar_task.png	1215994	ad9b118a93685b3fd7ce8df2a5e3bf6b1df413454c282b9267ae9e296e9e4b54	856c64ec4c7259b3fbe354befcd0f9b133e8eefc	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
special_tokens_map.json	636		8d6368f7e735fbe4781bf6e956b7c6ad0586df80	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	34362877	0ead607d5168e96c02d261dfac8408c63ff2f52e0ac240ac89d0450b3ec805d8	1938fa79699333a4a70d3b78a6f6dda2e12c88d5	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer.model	4241003	61a7b147390c64585d6c3543dd6fc636906c9af3865a5548f27f31aee1d4c8e2	796efe9ab515c15e146ce7588e6d7b9b8134dbf8	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	46915		1815f18a06efc2e96eed99ef443388fec03d85d1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
