path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1570		52373fe24473b1aa44333d318f578ae6bf04b49b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	24772		ccf9b5826808fafb8b9af711eae2673f5e2aead5	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	3057		8dabc4af5963acacc1b261f60e3040ba1d76b3df	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration_meralion3.py	4251		3abb817d3d8fabe7035adc8cf3a2e3c2322811d3	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	170		83f429b974c209dcd1c55f647aed3f08e69ae935	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00005.safetensors	4910473064	4e72d6eb7ae2ca69a059de8525677b5291ffe84d7e93394c06ddef9fe8e76064	af49e2f7658e9aa3c4620bfbee5e485c29d6a602	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-00005.safetensors	4962223136	6b9117add4b2989864813b3e72419b6903364260857ab34973504c69219f2bda	5e47d93e6296330899eab0174e9f7c72ad0b4220	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00003-of-00005.safetensors	4947572720	e79d381164c56307d9885761068b6056ff21320c172b2afa06a7a3e4fae4e060	d5cb911a0f5b7134fe0a6cdbbbdea128c3332dfa	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00004-of-00005.safetensors	4962223200	1a5084c0af364d865b83acb90de346d2258054c5c9de8aba6f2197615bcea72c	8fffe17f2c607a1b23cda4dee4b2a86fe7dd486c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00005-of-00005.safetensors	102797064	eda4deb0eee9ac94e4089d0b0556b1094106fe5eac6bd7bc7b146196000344a4	6442e649e413ee64007683211087deea9ffeca43	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model.safetensors.index.json	88426		1f20cfc192e83e7a1fd408e00352d8be903bea5d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
modeling_meralion3.py	25795		83c5b85bceeddf99a7272b69f14f6542e49f7b83	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
preprocessor_config.json	443		cc772e9372b04b9a698d35c3c8f273e264d02650	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
processing_meralion3.py	8996		497f20e542a3c421fed1c0f3f6fcb9323f069014	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
processor_config.json	281		e604438e34544f72eb07b453add4d897790a5e29	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
special_tokens_map.json	530		424c38a80343e97709e9032c3ecb71521e4b8b39	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	34362877	0ead607d5168e96c02d261dfac8408c63ff2f52e0ac240ac89d0450b3ec805d8	1938fa79699333a4a70d3b78a6f6dda2e12c88d5	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer.model	4241003	61a7b147390c64585d6c3543dd6fc636906c9af3865a5548f27f31aee1d4c8e2	796efe9ab515c15e146ce7588e6d7b9b8134dbf8	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	46923		dab5b0128a84d0f06c31312ca41c7ce71fc62eb6	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
