path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1846		d4f1f1ec7f99b1d265184bd780c6a38938425dec	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	29061		dbb27c6d850097d7b91beacd0758c613670479c4	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
assets/meralion_hf_comparison.png	504918	e325a3f87f7b20c4e77295fbb45178e58b81ce0ea9cfb445db3b25714356b23c	a8e48dc40695a320ec4d87b3e1d90d7cf93f1b3c	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
assets/samples/1_cantonese.wav	288044	4165f9fcd06802ca0865c33e815161f2a28d45b7bcd93a53f5a5bfaa656f9f58	d6a4d2088e080d5d65b0773ce6dd62de76cd8813	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
assets/samples/2_hokkien.wav	566444	a683835a420a13467165d8b8e818bb0fce0ae2d6f5f31e1ef520ed0df49f3479	8a9191a9c55f63d451e259709a18494ef67ec768	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
assets/samples/3_codeswitch_tamil.wav	115596	9c419ea7957fe3e7d73ce41cfac00c530049b52fbc39f5db7b6efc48ee89ae09	cb84fd562477c61e9560fa82c483bae86042a1c3	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
assets/samples/4_codeswitch_singlish.wav	78444		203969e98950477d3d7e841c04c163e7b98e2fc9	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	2897		cefaba955c463d728e71881c5f082a7102cc555b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration_meralion3.py	3168		86a0a64bce4461efe622996cd7aa6a2e97096d82	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	227		26b7c3e76f72b45806232364fe34be56dd498a5a	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00002.safetensors	4971858576	ea836de00d15a94685d9b69189d0073c9248aa264790634cda38d2cf9b26baac	6856a675c81c95b8fde1373ec6dce5962e0632de	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-00002.safetensors	1642292496	0c1472c987cf7360c628c7da8881ff1aad6a7fa00d42de3d07424c0862b7804f	6f4d94121a4528078ae3a0b74c72817c1af8340d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors.index.json	71204		2903805be4ee952ebf1177683c902fe05d05c05b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
modeling_meralion3.py	27539		69dbaf0d41b277b5b4345b2321c463f7d62af7df	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
preprocessor_config.json	448		c0e074a2f22171a0df7b7ba381c6e777644c4d20	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
processing_meralion3.py	8934		ff5990fcb17ce6b362b1fb150d8f8a56e4cd1089	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
processor_config.json	286		f08e198c8017f8c95520c79bf23dd764e2e2bd9f	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
special_tokens_map.json	636		8d6368f7e735fbe4781bf6e956b7c6ad0586df80	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	34362877	0ead607d5168e96c02d261dfac8408c63ff2f52e0ac240ac89d0450b3ec805d8	1938fa79699333a4a70d3b78a6f6dda2e12c88d5	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer.model	4241003	61a7b147390c64585d6c3543dd6fc636906c9af3865a5548f27f31aee1d4c8e2	796efe9ab515c15e146ce7588e6d7b9b8134dbf8	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	46915		ba319b258af3f9b66705270fb6bc4d391f221502	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
