path	size	sha256	blob_oid	scan_status	scanners
.eval_results/lhtb.yaml	318		cf7f419946a00bf195362f9abd8ca36216a57050	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
.eval_results/minimax-m3.yaml	3624		390c0fc0efed29109ea6b92701ee3ce799fa8de1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
.gitattributes	1578		5ca4638cfc3f2a8ff6b23a3b0872fdfaa82707c8	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
LICENSE	3339		f413dfa3bbb4d3713823106599052624b91434d9	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	5122		b1e395c849f3147d0645ee6f8f17b3d5781af0e5	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
added_tokens.json	1660		43c846ca31dbefd9250f2681d0013f3304c20b55	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
chat_template.jinja	11756		93022eb9ceec98f50e7a510841850f7f2e952d9d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	5254		6ad82bf04f219470b07fafe8715d7b05936540f1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration_minimax_m3_vl.py	4356		0534f70354808a0f93f70546a919770fcca57b56	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
figures/benchmark.jpeg	4417149	b4bc02e54f508f540e71a9286905477c780934bb79c0b17cd5892b6338313e57	5bc1bdd97b088885678861765fa6b3fa6cd7c55c	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
figures/efficiency_gqa_vs_msa.png	47694		cf0c76a949f52bfb48a3332760933a213edc224c	queued	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=queued
figures/logo.svg	8462		972b41cdb04e1ab4c2b94fa0c35df0c80a5151a2	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	150		54806f9d4ea503f2d1afa468de37764acbbaa97d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
image_processor.py	7856		aa896bba971dfc6e79c8b4d51730e0c6ea7953dc	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
merges.txt	2414077		ff574e20e38bcb4a57a4cbdb6e2df9f533339435	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00059.safetensors	5583706344	dd43571ea444cb0c966f2b2523d437252f81145f204062aea46521e202c32c9f	48fe9b4810f178f31fa1bde28fb74a8ebf0d787f	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-00059.safetensors	10922058704	f00337b2ad18c2d7ea3ede488ac40578b6faa4118bb8cfd5767ace9cbdadc26c	e81285772935184740ce7b529384b6f29586e87b	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00003-of-00059.safetensors	16079479008	db80e5edf8169e3c5cc098e032d556381c1a84b1738f84ac376ed7b39cafffb5	2dd983e067f586ceb17bc4a560cd65d4a923ee87	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
