path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1643		20ea40516e24e1bacb8e3434e3a7ca441764ee9b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
LICENSE	1465		7c219d7247ad815f9c73a93684402da0549e9724	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	40082		908e8aa5cd2f478f3c9253b474134980d4a131b4	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
THIRD_PARTY_NOTICES.md	1662		c558728752e493c3764a7abdd1281e3d12bfed1d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
chat_template.jinja	3759		f88cb41422626beb4cf1e7826b079448a4663cd0	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	5416		951255997883c0e4fd53a8a3e10add6e79354217	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration_deepseek.py	10615		b3152dd7c3e53d223d561848dc967f487daf32ef	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration_kimi_k25.py	5435		5858b3290a32509480affd58abc01482d5976550	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
docs/deploy_guidance.md	3233		1aac57bead663d507b156284690add81f1146953	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
figures/demo_video.mp4	270100	09b4d925aa0a7c712feef50765355f0625d8f6d46ea302fd98db9609e9070047	d4d34d31bd1a855188d341793a3144d7f97dd7d4	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
figures/kimi-logo.png	87988		870b8be6e07cc2c46f7173e800fbaff8af0af5d1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	52		4bb3f8ec4a1d604598b7ffb4621b955e995bda92	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
kimi_k25_processor.py	6906		d526032f91036de5f3d226b866acf449553b986d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
kimi_k25_vision_processing.py	10019		fdf3ab2f100f7c28a1f1e7295297e54b515d0b53	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
media_utils.py	13179		8795e06f381700d6420798f82174e3f9647e9f89	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-000064.safetensors	995001888	18daf53a15070b9c70d8bb63420dbd39764af9118af67982eeb60749f5453233	809b7aaebbd49d29c3f749c978a4d5d41af7e822	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-000064.safetensors	9809047464	e017c948926333558df1a9637ff052c663378a70afbc1bb5b20528b8b5a501aa	3cb514dfe6cd50948b2b5bdba1d109255f2b3eb1	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00003-of-000064.safetensors	9809047464	c74880b04dc208397d7182c4692ca67644ea732be216ac4b23241db389f86886	f8d6214c1b62a1c61becbeeff5c5be7eb604e075	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00004-of-000064.safetensors	9809047464	17faa37dbf12b17eb3cb94bc7d9b85db9f7d68411bdecec84224425b25b22fca	1011088c8df7ed9d43275fc8b9a5f979a0a82b4f	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00005-of-000064.safetensors	9809047464	a97ff66ec88a9e02a129cb3dc75b2c3cb4fc4ccf698777042253504be372b52f	404d054795db6680acb4e055a8a24dd619334c6a	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00006-of-000064.safetensors	9809047464	da5cfbfe78d1c740c3cbe8ba49d84712d4328be72d3389dad54361d480cd3148	c1dad5c90fb9fec8bdaea35394abd4dc211230aa	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00007-of-000064.safetensors	9809047464	65b0cd81a5c8320fdfbba91f3530bf35da9befe7a776da1f4d5485083b527d8a	2db6670c9ef0c897fa833ed1e26662cea67d5f70	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00008-of-000064.safetensors	9809047464	da91fa6a5e61a3dc36a2a9e46e0be066ce67ae78a1f2dcdce04511c38e30fb5d	6752ac30894c1cca842d03f404d5d83b56516da0	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00009-of-000064.safetensors	9809047464	e4f08c59cee6cc26a92cfb5f36952511b171d5db527d1d78f84f7a081ab78599	ce1aa871f207e66cfa13c221b78ce2e1a50fbfb7	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00010-of-000064.safetensors	9809047464	7bdae095b9c721830784435564dada40a63c2c4b434cba4d81dbc0b1173e3d75	46d5ba31b98f2549f1fa4486016d39d08476f7a5	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00011-of-000064.safetensors	9809050936	899dbf01f498fa71c4e97833caac73c7fbb3e197a237f2f7d9fea9c5262afdc3	a2786895e4eb1302fc6d057e033e0e31ba4a7a22	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00012-of-000064.safetensors	9809050936	72be28902ba87b0a1ac24ebb3b36ee89850cc7f13fbbb51e8b1dba743c7eb171	5915e61887affe2b0812b72e781c3b242cff7314	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00013-of-000064.safetensors	9809050936	f375d01e1b1230cb0bbfc3c6ce6a81c26a578b633dc43e24956610c84205d688	a75b0088cf21c85ba43e2b7b24d1f5de53566038	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00014-of-000064.safetensors	9809050936	b341417f09964cf477c60fd431ecd6e454442e973d41a17038004340ce8ad83e	6cd0b4c100fb1c2d46e518c346bf5415596cc2a1	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00015-of-000064.safetensors	9809050936	9534ee2411e8c05451e19b7234ceddcd33271795b782d910baa9ebb96738d2f9	8f94dfecdbf91548d83689e02df6d20c8000a95b	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00016-of-000064.safetensors	9809050936	46cd89549baf6099c1629a1a023b0a6886d5d115f9afc97ffb68390339967eb7	c624966151e743fcbe6230bee650897320d0a57f	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00017-of-000064.safetensors	9809050936	2b653d852e4d30f8eceb0800ae1a5b15c02fd203fae04c097aebb8fc99a0ef03	827b47317aac25d14236b2276e626f5b21f5cce9	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00018-of-000064.safetensors	9809050936	cd82fedc4da324d1be93db896d0b30ccc02ffd4d267bd1b64875c5cc0d7cee22	6a3f7e0cee9b508679e95ee4e11dc540f7232c29	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00019-of-000064.safetensors	9809050936	835c2cce752c8f7030d04fdd11a27311efc489b1558dee9d646d135d3cd82044	228b260293d6ed64bc4e0e349ae6b39c171b3938	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00020-of-000064.safetensors	9809050936	26a3ec988f47120f07938afbf7ce3a27dbeeaf955e816ccf202ebf3751833438	bbe0c6cbb1f40d0b8818c7ced86dbdf6581e8dfa	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00021-of-000064.safetensors	9809050936	02376f1b7e16343f0e7ea4d847c85e33da30295499c25145fbd4998cb44fdcff	115375f04ac0408bf6eaefb5a8b52a3ab9a3a8c2	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00022-of-000064.safetensors	9809050936	a177b349938d277b2ff17d4593981343c7a66a6445b964fd596551dc325dd889	57e90f76bfb569e5c9a151b043f6d320fe6873a4	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00023-of-000064.safetensors	9809050936	ecbbd2355a4b74d425a1ab847de07d603a0f23c1eb5615563e72f224335022d7	bee4b03197546f787d755da2a59d428918acc92e	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00024-of-000064.safetensors	9809050936	505f7178c7e3d089aa51d3eb83b2133e379ae75e25b00ebc80793c4affbd90e3	a47b0f110555eed763a22492f7a9edae816c4b55	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00025-of-000064.safetensors	9809050936	9240b5987ffbe8b47f0668db0b7608916e1648bc9a3a0b55f6079c222e430a83	325678d4d56b498c3d2f6316ea85257e6993c9a1	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00026-of-000064.safetensors	9809050936	4886aa2bf3e83fbb83adee7fde183b9476820dafcbaade99a87b95c8946e5b78	4942622fa799d760299eee6ceec658401802211b	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00027-of-000064.safetensors	9809050936	06e78ba422ca3d7188d701d6cbfef9ca79a94e56c572894ac63666cc90336a0c	6a64f025c652d37165c2fa87d32c052b58d13559	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00028-of-000064.safetensors	9809050936	4235b1e3d587a2ebbdcf111eb231c1d66a891ef0c8e6bc91214e4ebccbfa499f	ea8608f970a2ee3e8d3d770e02865437461886cc	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00029-of-000064.safetensors	9809050936	2e37a630cd0f516cf82442de3db77f1f4ec7f0fa7b37a429c51dd17c26fd6b02	0ed25f79fabb2661d069eae5d98915870d3f5498	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00030-of-000064.safetensors	9809050936	04da30f98f4c57c6a821090be82d0d8e3af92ccb3edefb7cabed893d96ee0a04	9274a4b79445f7d081ea6cba1536f578b9e3a9f0	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00031-of-000064.safetensors	9809050936	fdf3def720479758dfb38f53b6cf97d4d326fd39f215b2d1c65699423d3af2ad	8ee9f60b58c16e569404fa62ec1c4f0c19a3d640	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00032-of-000064.safetensors	9809050936	52534a0a523aaf64c061297aa1efe3b6cb5e42a0af422f14933c159c92ba9e49	047ec2922d68e8f8f4774a411d6af9559174e0b9	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00033-of-000064.safetensors	9809050936	3b8438e1e9a6573f403c03defa00aa0649f716b5da098beb422827834e889ea8	b25d5a7ac303c0a6e6c45c864209c06879f22b56	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
