path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1643		20ea40516e24e1bacb8e3434e3a7ca441764ee9b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
LICENSE	1470		41a8d900c7cc1c6d773bc9bcf61f07658e09b9e8	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	15061		0f67f24ac27696aca1033d9f73a9af6f9aec8d26	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
THIRD_PARTY_NOTICES.md	1665		7df3ba9ec5872b0d6b99c74824e4d798926751ae	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
chat_template.jinja	2385		317ce481296988cd4281e42764252b9198076e2f	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	5420		82efafe47e37462a55e6eb50f46fc1f04e34f75e	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration_deepseek.py	10615		b3152dd7c3e53d223d561848dc967f487daf32ef	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration_kimi_k25.py	5435		5858b3290a32509480affd58abc01482d5976550	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
docs/deploy_guidance.md	3689		f2d63b7abb0f83ad553d79adee8b4cea98a5a88f	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
figures/demo_video.mp4	270100	09b4d925aa0a7c712feef50765355f0625d8f6d46ea302fd98db9609e9070047	d4d34d31bd1a855188d341793a3144d7f97dd7d4	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
figures/kimi-logo.png	87988		870b8be6e07cc2c46f7173e800fbaff8af0af5d1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	91		cc46200200f5f296e83858c7cdf8a512f0b8c178	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
kimi_k25_processor.py	6906		d526032f91036de5f3d226b866acf449553b986d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
kimi_k25_vision_processing.py	10019		fdf3ab2f100f7c28a1f1e7295297e54b515d0b53	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
media_utils.py	13179		8795e06f381700d6420798f82174e3f9647e9f89	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-000064.safetensors	995001888	f039216c7c449fc944ec23f96ca0a19dcdfd10f7134dbc05b94dc82bfc48c4b4	4f44e88b071d702e4d57cfc1bc4d40356ece67c1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-000064.safetensors	9809047464	9f29f76850192a8a0422fc3d75be10ffdb6e1e6c57536db09b9e57330402938a	9521f509fb4c3c5bf1caccbfbeb897cc3564d29e	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00003-of-000064.safetensors	9809047464	1e3c59ab16fde9059831edf1245e34aaea32ecf28c332af52e7ef53f35169281	da267b9556f31c12ed74b6c12ab253989d6ab55c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00004-of-000064.safetensors	9809047464	0863caf2c5b5bd6f3374757b7acbfec477b31bcec3bceaf064327478e09f6027	0ca997c7a650013788ea6cc8f378f83c9de52bf7	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00005-of-000064.safetensors	9809047464	63709e48656914ee96cc239311049f4a616b54dc687b27d702b24d266acec2d6	2756c37ef4eacdc93a54a3ec988b6557288c9efb	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00006-of-000064.safetensors	9809047464	a303b0bd76aaed95328b680b11ff7e96f68aa2947a93e1e112ebdcb98affa7d1	b93e1e3ea11534a2cfbed98b1bb4a8e21a134464	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00007-of-000064.safetensors	9809047464	94244e6eee19b2b9e60f1ed9bd1cca37b126ffefa10fd03bbf06739e473b0405	82c6cdbeb89cb52b119eaaaef5d983e48def32a4	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00008-of-000064.safetensors	9809047464	40099c8bb5935abe5a22147a17eabb07e19b4d3678ae8b4f8ee0238bfdfd5581	5ee0b4c7b971ae1baeed4bedff71f42cc6259850	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00009-of-000064.safetensors	9809047464	1e32aee880f63e74f9c9a0e968f198829aabd6afc1e41fa40d7ca16f77a833d6	f09ee655fc447b2beb1510f43eb9fa9cc8fe0b33	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00010-of-000064.safetensors	9809047464	b601a5e469be6f384d6bcd194bdb728a346b2dc9953b198a2c96caf090359cd2	1b341cca24d28671721cc7fed96ae240874c2a49	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00011-of-000064.safetensors	9809050936	235b8db1f814df9ec4dbee727327703134e8e29e74ac198b437170ffaa85da32	c3904a95728b2a4e6e376815877db3f20607db80	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00012-of-000064.safetensors	9809050936	3ad887ad0b63c8e4f59ec9090bf7b8f01ca091df828ef4601b53b9d8fe943da8	ad6bc096a93916666fc082d43cdfb988f5de5771	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00013-of-000064.safetensors	9809050936	9a10a26f5e633d7d0a300f37490ca0b2c57cf05e66c29b3089ca037280ed1bfa	ebb9c54e4ebe7ca5a82b4e87d1519484510b7100	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00014-of-000064.safetensors	9809050936	f7536219b9599de4cca8a57d08dce416f2f38b9472600e945e018dc9daa64840	94de76adaf74c96222aac929821badb7e13e5b1c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00015-of-000064.safetensors	9809050936	f279fa4cc3d3d72d31c9a391b1c1ff3977c6f26f1297a913c221d33f8dde9092	739c7f3fd7b64fb2b0eb2760a24a451700875cdc	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00016-of-000064.safetensors	9809050936	c1a5426a084d23e9fcdbb485b79b87972128c7b6bb7a331d82af94939d49068f	b0ddf8b9e3ed38235fb1887a3f747d7a30736696	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00017-of-000064.safetensors	9809050936	41acfc6a032b0dd4baa1f60c2722e9d4c89d8592cf4c36487dcc7f6f71ff92d0	2acd57fe15cb679a935f647de5f1570648daae7c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00018-of-000064.safetensors	9809050936	9bf9d5a8b5c148a0f8330dacc4725f37346cf103ac025b4970db1f535398028d	51bc1f88802a691a35fe4d0c3fc3129191c68f70	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00019-of-000064.safetensors	9809050936	e57a91d0b0badfe4d0d4dc81e2b301361b2bb7cdfdfd8e0f4335c7a8f059d63b	83f9500afb39f52e878f316705629b86243d369c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
