path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1519		a6344aac8c09253b3b630fb776ae94478aa0275b	unscanned	
LICENSE	11343		6634c8cc3133b3848ec74b9f275acaaa1ea618ab	unscanned	
README.md	5500		9b9ffadbb561798417c7fa4370e30144359626e3	unscanned	
chat_template.jinja	6211		49b0e8d0ee7e655434942233b4b0ab2104d5247e	unscanned	
config.json	994		6b5ff7b7ef7c909f2bb9568b7db3ada56bfad60d	unscanned	
generation_config.json	180		ba3e8d9206508daab666e1aaa9dcc9c435bfa541	unscanned	
merges.txt	1671839		20024bfe7c83998e9aeaf98a0cd6a2ce6306c2f0	unscanned	
model-00001-of-00241.safetensors	3987218640	696359183790b186b584590f0a09dbed9a71ac1cf99776090be9b9355257097b	e7de09d1c75dd6c8316ac4b763431e07b45c0e6b	unscanned	
model-00002-of-00241.safetensors	3995090312	f15136f1864960b643ee0facb4c698bfe20dcd9da2420163310eae607cbca67d	821b217d131008f1c79eb8e2a8bc5306eda1108a	unscanned	
model-00003-of-00241.safetensors	3995090328	7bd6a23bb5a0c1c32c7e4afea306d1bed4ba120d1cf92f8ca80498b04e927283	8b36c16057d17c60d1f3ea988b6fcd7373aa8798	unscanned	
model-00004-of-00241.safetensors	3995090448	0b7bef72a61bdb5e64d0d863068bb65b3270c39c741c9089390412731dba0fb8	5120a0f2ff7967182332668f73a1b44bab0084c4	unscanned	
model-00005-of-00241.safetensors	3978206784	ba3291e8db1bdd5080f1b8393c06a1c00cc3cf3ea74a116f2ff04865ce2c44ec	78e389b8829b877ed2a80f5f1369eb87660ec53d	unscanned	
model-00006-of-00241.safetensors	3995090320	38e134c3eb7e9b0108672d797865420f060e5b8e4a95a548ce29f67455b2748e	7f0b15e0dd7ecfb0cc5b025604efee0a0f832a84	unscanned	
model-00007-of-00241.safetensors	3995090344	3c6dcab788c6ece9da6055bf7149506ae7926b66a7b3ec7221fe4001c93daac0	4e53af5931cacbf9426200ae92cdd6fa230e6e61	unscanned	
model-00008-of-00241.safetensors	3995090448	eb218233ab8d7c0cc9e69303b52849251f12326c18d65c3da3d5c46eda79553b	d1d2417a6d326dfca15753f8c10aef3d87809fa5	unscanned	
