path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1519		a6344aac8c09253b3b630fb776ae94478aa0275b	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	57846		7fbce7d50243a423bf0af98fe5b1b11453dbf38e	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	4908		95d74b20b7485f5dfa09d05988d6c606ec226811	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	245		1872b16d4535564abf2db5d6debe6cddd82b7f2e	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
merges.txt	1671839		20024bfe7c83998e9aeaf98a0cd6a2ce6306c2f0	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model.safetensors	3833402552	38b1d5971bdbd982b561cccec982669a53b0537c3cf5e9bd4778ed07bb2f5137	c01bc81874a6a96fb082d716ce06c87420f01ece	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
preprocessor_config.json	127		0525dd953bb9241912f7147666f0d535165d5d4f	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
speech_tokenizer/config.json	2336		06cc8dc4c5ec8a1929086b71b98c313020d9268b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
speech_tokenizer/configuration.json	76		ab58e2eaf53cd14a1a2a7527d9261ceea93a24cd	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
speech_tokenizer/model.safetensors	682293092	836b7b357f5ea43e889936a3709af68dfe3751881acefe4ecf0dbd30ba571258	026d66bfb5d730dcfd56450c5e9e51b3ef4e0712	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
speech_tokenizer/preprocessor_config.json	234		ba40914f4f49ab98a8ca545d4892ef7291a39592	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer_config.json	7344		6ff9fd60cc623bb54bbd603cbd418c97a11528d7	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
vocab.json	2776833		4783fe10ac3adce15ac8f358ef5462739852c569	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
