path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1570		52373fe24473b1aa44333d318f578ae6bf04b49b	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
LICENSE	11343		1d5180a42f1c3383ba7c7bd0a50f0837ef0168df	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	92417		a2a72d09e2fbca37dcf9438add912fccabe048e8	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
chat_template.jinja	7756		a585dec894e63da457d9440ec6aa7caa16d20860	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	4134		bde2be7f34a16fcdf78b9050319cdb330a15fecd	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	244		85b45ab4f3a24f95a061c5260559471a259187cc	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
merges.txt	3353259		a494e019ca1502219fd0128658b979e5f05ae8e8	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model.safetensors-00001-of-00011.safetensors	5263851872	9019228d172c87d5603266c2d56672d119e838facffa164de803a1ebf0d716d2	3d43db9217ab37dd98ffc864cac0628641633649	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00002-of-00011.safetensors	5347741440	890ef00c920b01c1c02755088c8d8ca5cdd6a1faa2a9a729eecd00857648b411	2cca8a780a8602f99b58db80f3d34c444cd67a8c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00003-of-00011.safetensors	5347741504	8aca03689ad0717fb91455809a6670eecca818bea8c0b6bd3a591a8807cc3223	f7c4fe50d44b55058318a0020eb646bab1966e5b	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00004-of-00011.safetensors	5347741504	20f539430c60fa611b3522b8408749a080b63f1fe034e551a6539ef864ca079a	447d9f5abb31c8c8b9f32dbaa3925a29f3514dc8	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00005-of-00011.safetensors	5347741504	57a0c074c654f05fc2d6b5112eeec387ac04986e928e42f502993e69aa03a49d	c34f6ff50ffdd8c70572b06e9528b289cb7615af	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00006-of-00011.safetensors	5347741504	cfa4e6fbfc600854ef6c8e5465d0a1e43832a64b5e539f1e880333e3b1086703	930fbf2ed75722779a7a063141cd2e8c8ba856e4	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00007-of-00011.safetensors	5347741496	d426963325b2319cb9e1442bc8b89b9a7748a8f7a907aa4041c11531cda6b014	5157a50a2a303023bcee932ae7353dab1dfd6ae1	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00008-of-00011.safetensors	5368714128	fe60dbb9d25354c4eb2a9a59d9b1afd07741c8bebab5870f5eea6eadb4cf9a06	495a19d935745a822c305c1598cd718e9c4820b2	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00009-of-00011.safetensors	5347745520	71a153d882242734a1fc7e000734727f00f6ec8ca70b044f5e44fcf97736ef8f	9f7839ce1aa5b6e5f5adb8d48d6808ec91507c1b	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00010-of-00011.safetensors	5347749200	146745698b9f21940e2982beb1816a0eef3b80d77ab9cd884695b9a08c2697eb	68c89236caa9f661cddd19e728c0666a029e0a33	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors-00011-of-00011.safetensors	2148512760	d947ce7483c4109b55039f1359f4494d22390cf123568100abd89816802f097d	82c72b2b06aab1ffd1b0e9618afb4b7ee2bfbc0b	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model.safetensors.index.json	126601		a7726bc7355fa586dd0c55f3b4adc410461e9318	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
preprocessor_config.json	390		2ea84a437d448ff71b08df68fdd949d5cc4ebb64	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	12807982	5f9e4d4901a92b997e463c1f46055088b6cca5ca61a6522d1b9f64c4bb81cb42	a73a846725794819aa6e1c9e97d8dc9671c2006d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	16710		eda48d3e75a8e59a8479ee4ec8b37f76e711d9c1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
video_preprocessor_config.json	385		3ba673a5ad7d4d13f54155ecd38b2a94a6dac8fe	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
vocab.json	6722759		0aa0ce0658d60ac4a5d609f4eadb0e8e43514176	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
