path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1570		52373fe24473b1aa44333d318f578ae6bf04b49b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
LICENSE	11544		f938136e3adacfd92be087f6e113b5d6d97f678f	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	77643		0f3972cb2c995a86bde9ac92440da530fe2b2c68	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
chat_template.jinja	7756		a585dec894e63da457d9440ec6aa7caa16d20860	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	3126		273ce437e01baf96a07cd9eb3d5f48bac8d7c657	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
merges.txt	3353259		a494e019ca1502219fd0128658b979e5f05ae8e8	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model.safetensors-00001-of-00004.safetensors	5276436216	db6f444b43d318c92f360a13a25561a6a65b10c0631b8ed305a426dbaa6c380e	dfcd6f97b641f0447db5697eca1f4e227c84449c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model.safetensors-00002-of-00004.safetensors	5335161512	31c7d7e2dd5d207840b31cc59083c8f4c4718959149e0358c0364052bb9a0330	645b45d883adaee57a4dbbf75577fa634d20c6b5	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model.safetensors-00003-of-00004.safetensors	5368717440	7ec36ba3a4176a44c3c0876ad80c56a2f70c84bf008d82e9501df642f17dadec	20f21fdc49bdca8f021badede1ec436d8241f1e2	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model.safetensors-00004-of-00004.safetensors	3325995712	b62b0c4cd7e44edee103ee8f4fe225f246d5e768e07bfd5f25b63a8aa1fdd0c6	5a0f71d358bf91155d46e610dc32db45989a1a5f	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model.safetensors.index.json	79657		e4c1cb7dba5096b43b9d92bc781aba5e3aa8acd8	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
preprocessor_config.json	390		2ea84a437d448ff71b08df68fdd949d5cc4ebb64	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	12807982	5f9e4d4901a92b997e463c1f46055088b6cca5ca61a6522d1b9f64c4bb81cb42	a73a846725794819aa6e1c9e97d8dc9671c2006d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	16710		eda48d3e75a8e59a8479ee4ec8b37f76e711d9c1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
video_preprocessor_config.json	385		3ba673a5ad7d4d13f54155ecd38b2a94a6dac8fe	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
vocab.json	6722759		0aa0ce0658d60ac4a5d609f4eadb0e8e43514176	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
