path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1570		52373fe24473b1aa44333d318f578ae6bf04b49b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
LICENSE	11343		1d5180a42f1c3383ba7c7bd0a50f0837ef0168df	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	62593		848606ef28b3f03059e072fbb6933e6595b8fd6a	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
chat_template.jinja	7764		a8755d827c0a7b614c246c4060dfd58ab352a8ff	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	4308		9f3dd1b1c6d0b43f4b33819dbdd1b60369f9006e	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration.json	51		3a6d425685de8896b2bc8b59b671e41aea1d7bf3	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	202		023756cfadf88e5bf69eefeee3e172f38c448d64	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
merges.txt	3353259		a494e019ca1502219fd0128658b979e5f05ae8e8	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00015.safetensors	3968861352	5f21d4e349aef6c74bedef7b3835dc8c11a16dd5ce72f4437e2284f1e83736e9	2a72081053c031ff79a801ca1403c22f7c0a2d53	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-00015.safetensors	3921677136	03de44dc7e933025498d72f8d7ea32d5cde16eb7a85b35ff1fa49a737f4b2242	d0dd61b9cf53a2f3fc62638fce1204fc0f7ac3e1	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00003-of-00015.safetensors	3921677128	5c3a68304dabeaa5a0eb70a5e383d2b8134997ef6d5c1e8afdcd236091c847f2	cc397459c9c32a37b30d0256fa385332ede153df	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00004-of-00015.safetensors	3921677128	ba8b0849cb4c4c97e674709bfe56a9c008d7563a68ac57120ceb2855a73a9944	5b0cce80456b351002d0866cc8785147771dd6d4	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00005-of-00015.safetensors	3921677112	a5abc1d5e9583409193e2cd58a671a4ed98467a6eaf883cd4377e3cc02021c22	adeb83924c0ce8d4cb6f67dd1935e2981b736e49	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00006-of-00015.safetensors	3900710888	160d914e2e4704a401a3eab9e9eec3380e5723a35981c9169bedfb82ea32e6d6	d983f1b15d79737bef917ac72d66bc6a61d906ae	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00007-of-00015.safetensors	3994391976	0bcd0ce28c7d2cc6f5ab2c21902cd032fec0cc5f29e0897e3bb0967add388e47	9a01ec937f11a69c479e5fc84e7d4efd7a1618e4	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00008-of-00015.safetensors	3879219776	584a0ed8018d3b19ce8e533d08a460454650027901be6323b50b591da143dca6	a04a53a3216fa3d993f1fce21538bf95e53fc9fb	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00009-of-00015.safetensors	3921677136	e7e3e1a17a2673340eb6bba95c3c6f07b12e7746ee738dde56551cbde27656f5	1cc214442072931770d31aa83250f5c1d301c75d	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00010-of-00015.safetensors	3921677128	e8934789f4742c11da88f937da84bdbb8764c8a7f7ebe9e7b056bcbd41b14285	61162383225ca250b045bfdb9c2bee422ce378ad	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00011-of-00015.safetensors	3921677136	44e8fe06d2d609bf20b16b1d2f42348ca2dc99179721f76035ff50db678f9a8a	c04f45b10f57203e4ff77e619047d46549a0dc88	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00012-of-00015.safetensors	3921677136	33c5d7d18e1b3f661334dff736fc7d00561f1f1bb9d2970c669b40d2e582974e	1c9f6ba0393dccb8e489f6c3f0a3b478e410c714	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00013-of-00015.safetensors	3995081848	68db2ebb03231238c2a114f3642df967a970a1d96b029adc427838cb5cf7f27a	5c187866d0b63cb4a5a7048c04a39c59b1f43760	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00014-of-00015.safetensors	3942652952	26c114fb6d5d4131ab227552d489d7a97c8c958a9ed94f6d3d1584f6cfe4b9fb	90fdcef8b8270c2cec12f6e9fb432d78e5b40b56	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00015-of-00015.safetensors	508670568	b84b5b1315e865c9a19a444045d422a73e3e2e31ce3766797cffd3507c68c9c9	51d4b89f21c0f93f5eb5f691960f7d8ffc5b99cf	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model.safetensors.index.json	112216		ea32be691d17374c05b277246085e81b70e6ec0f	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
preprocessor_config.json	390		2ea84a437d448ff71b08df68fdd949d5cc4ebb64	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	12807982	5f9e4d4901a92b997e463c1f46055088b6cca5ca61a6522d1b9f64c4bb81cb42	a73a846725794819aa6e1c9e97d8dc9671c2006d	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	16718		28d96ff303d1d20350185caf4bf037045916ed35	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
video_preprocessor_config.json	385		3ba673a5ad7d4d13f54155ecd38b2a94a6dac8fe	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
vocab.json	6722759		0aa0ce0658d60ac4a5d609f4eadb0e8e43514176	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
