path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1570		52373fe24473b1aa44333d318f578ae6bf04b49b	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
LICENSE	11343		1d5180a42f1c3383ba7c7bd0a50f0837ef0168df	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	64550		20a5d849ac33ffa1dae83ea093710328fa1880f4	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
chat_template.jinja	7764		a8755d827c0a7b614c246c4060dfd58ab352a8ff	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	3686		9c2aacf8e27267fadb4f6bf8209e7f3c26f5dd66	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration.json	58		d24dba949ee1fe70cc810e4c4709a0bddf4e06ba	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	202		023756cfadf88e5bf69eefeee3e172f38c448d64	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
merges.txt	3353259		a494e019ca1502219fd0128658b979e5f05ae8e8	safe	protectAiScan=unscanned;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00026.safetensors	3996199712	adee7bcb930aed22e0677e58d4873b48dadb1ed8001cb5c6a0487286eadb3478	61c7352ebef8c1885f7f893d74e5afb7871988c9	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-00026.safetensors	1284907696	88f2dfd2b9e73e4b70be533dbf61bcfa3c9a0003758900fcbc9d9b96f5751d4b	e8885e487e5420ef66d97b6787c513f3ce7e50bb	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00003-of-00026.safetensors	3357898360	8f7d72178d3f4431864978e5bcfa4c6cb1c204bc00590644d90bb19d6d522eeb	1010432f2b595e0e5abfc30dc2f0d7ea6e5547ee	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00004-of-00026.safetensors	3370808712	12d7db38689ba3c8af74b23ef8523eca41e0cd95db870583d0663a3ee8a6bd60	28922b99a367787150ff6cb0718b207135f085dc	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00005-of-00026.safetensors	3357898360	a836047305d0f7a7b50f0815d09d5c03ec03d59ec2c763fcdc4bf7e9936bf902	dcbce5eb38656fb4bb8a9498d0efc42a02bd23d6	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00006-of-00026.safetensors	3959424904	c9080d718e9c5f9e337443225aa417d4c24d00ae7995d76ee3f1cc296b557d15	3e1d26ca37f7f2e4a9912db738140f40d963d114	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00007-of-00026.safetensors	1096788232	e8c05e23131b1dd45a455ec38cfac7db14667358268623c3938d00cf3e959a68	463dd77cd5194b3851f3635b0aa2e946969efe4b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00008-of-00026.safetensors	3946842008	4b6a6d495053089f4a80e7cbc82e848fba44e2c0c60122233d8fdff79fa7b296	2021ce2d8fa22ea6ab33770b26c742f91642400a	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00009-of-00026.safetensors	1096460848	a31a954bb72d1c714e751bf0aabf2ff533f5a509693ebf7dd22ad6e90be46f67	b624a3f2d5f424ea0bbe7d5594d15b409cbef00b	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00010-of-00026.safetensors	3946841992	246560e66570fe746653b8443e245dc334c9b8b831ea43d2d9f1b7d98623994e	3bc64bb21ad1c3f721186441cf3e0c6c3a84f803	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00011-of-00026.safetensors	1096460752	7180392817fe3ecb3a27a1da43b7ff22c1a94806bac49975f9f122c3126df675	131d94f1c6fd11b4213b6ce05feb0fe3dcb1c693	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00012-of-00026.safetensors	3409971080	043fb525f6625c2f2acb75e65a9959ee3fa7b6e3fdd2034b5cfe1859b01d3cfb	b040977ac91bf95fdc5d21fe7c67896f7f3eb25f	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00013-of-00026.safetensors	1633331664	33a20fb20a21379bf43c84a43105f9c0cc35bd50d740b1c302dcbe4b700f5425	1bab7b387dc1db5d184a63a07a30350d3a860d94	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00014-of-00026.safetensors	3422553872	be823e33c5cb6120ad3769d081f34a2449dc2358041fca7c29d636c1ba19130d	66b262bb31f61e83341bc6949b1fe1c98664f0a0	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00015-of-00026.safetensors	1633659224	a89d547c6f9d0b535ee5ea2f2478f163089539f3f0dd330cb23d278a19d76123	ab623909e6f0db7ba62c5c5e7baabb796c044fc4	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00016-of-00026.safetensors	3946842136	69fc3ae0316482288afdcdd0b9eb7d626703ae26f7567e89aa3fc8d1ffd4ff5b	4791b1d273c43ee17cecd13ad4b46a6f3aed7c04	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00017-of-00026.safetensors	1096460608	e356e3943cf3852b76bb8992e674f3256013e27d54b78e8250514151cdc29637	3ad251d7d87a0401448dc29175cd51c637e8d7ce	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00018-of-00026.safetensors	3946841992	9e5e63fd1cc7d6848330c1fa363dfcb661bbc2ac87e672d0e28b71c9cb7f3c7f	d311c929d25c08cce796a89e0c4205c8168cbc01	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00019-of-00026.safetensors	1096460808	708644ad34f1de727bf484f396944d8ec628645d52c183e9a992e65671685e21	a9a70bdc90838c20d992a2595295908ed1704f32	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00020-of-00026.safetensors	3409971072	ca083a1d1aa64f8e8a785998f543a43374f13436dc85d396eee4e72c7a84e1ae	2c611dc55503bf275ed02a27c9e77be8c84be89c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00021-of-00026.safetensors	1633331744	ada4ae48f3d48fe01b4c53f2f82bce25e798a9631fd33959c881156fef2ccbce	535b0ee10789be775c0274a81bc51d1ccb3b8566	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
