path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1682		2d15ec3742e8ec0b3cbc7cf08d333552bcae0aa0	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
LICENSE	1065		e14ce68b0a559601dc936eba5e7c4d1c3d8ffc84	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
README.md	10909		42c3f8e6cad8e812f71c352381eaf058ff91a217	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
chat_template.jinja	5076		672034e3a1196d8b9fc0116ddc037cb554227f89	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	29464		4e1f0168afd127189fb1c4ddb1d4476a4fca96ac	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	194		216bbb092d0df0dda1dc4cedd789b92286c4c001	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00141.safetensors	5363940952	cd4b389324d8ed223c28a9e16a718228fa4d24ce09cdc0d0db92fd722df8e6d8	6418f8f157b41a2c2ca9bcf06ac4deebc6c70bdb	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00002-of-00141.safetensors	5361736696	11b80a3a469fe8ab1d6bd2d88c9bb53cfeb3ce54357be876bbacc5f6fc26db30	67972547dbc2e63b595090fb27cce74e0d114e49	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00003-of-00141.safetensors	5363339120	3960cfbfa5e2f7bbdd195c8becbe712a4eb9d2d68a2bb912bdba72dc7dafbe43	d7abcb210cc6413506434fdf2c7fa2b77f2fccee	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00004-of-00141.safetensors	5361736640	bf88f32b6d8f43ec1c066d5953e120fc5bbc85dc99947f0971dc3b502199d4f0	d70c6b29ae5c18d369e891d93af7a89065d27160	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00005-of-00141.safetensors	5366353560	ff48f71f3a005abf34724f6db856071d3e9b0a3d1b80c94c26bbe06842108b2b	5694214cacf9c25d73f1e52b9a53d936b7efb203	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00006-of-00141.safetensors	5361736504	2e9ce4ee588a5c73ac16a7190b7df88115498f056f70fe164b47c2fe9963d658	8c9d6a08b4f9b5652ab6d2e0e574e21dd413e2f6	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
